query	count
"abandoned,two"	1
"aberration,man"	1
"ability,executive"	1
"ability,keep"	1
"ability,make"	1
"abound,reliable"	1
"absolutely,nothing"	1
"absolutes,desire"	1
"abusive,behavior"	1
"abysmal,management"	1
"accelerated,recent"	1
"accent,rousing"	1
"accident,enact"	1
"accident,mr"	1
"accident,talk"	1
"accident,texas"	1
"accident,ties"	1
"accidents,another"	1
"accidents,energy"	1
"accidents,renaissance"	1
"accompanied,armed"	1
"accomplish,god"	1
"according,armando"	1
"according,copy"	2
"according,disclosure"	1
"according,emails"	1
"according,hotel"	1
"according,interior"	1
"according,lawyers"	1
"according,mr"	1
"according,people"	1
"according,program"	1
"according,times"	1
"according,two"	2
"account,claiming"	1
"accumulations,industry"	1
"accuracy,studied"	1
"accused,meddling"	1
"accused,mr"	2
"accused,trump"	1
"accusing,trump"	2
"achieve,unrealistic"	1
"achieving,energy"	1
"acknowledged,efforts"	1
"acquire,exploit"	1
"acquire,million"	1
"acquired,one"	1
"across,entire"	1
"across,gulf"	1
"across,louisiana"	1
"across,much"	1
"across,planet"	1
"act,dorms"	1
"act,explicitly"	1
"act,require"	1
"action,committee"	1
"actions,accusing"	1
"actions,always"	1
"actions,let"	1
"active,facilities"	1
"active,platformpipelinela"	1
"active,wells"	1
"activists,changes"	1
"activities,oil"	1
"activities,recent"	1
"actor,owe"	1
"actually,get"	1
"add,concerns"	1
"adding,fact"	1
"adding,simply"	1
"addition,diesel"	1
"addition,mr"	1
"addition,safety"	1
"addition,string"	1
"additional,bonds"	1
"additional,inspections"	1
"additional,million"	1
"address,please"	4
"adds,without"	1
"adhere,industry"	1
"adherence,p"	1
"administration,also"	1
"administration,deepwater"	1
"administration,efforts"	1
"administration,end"	1
"administration,government"	1
"administration,included"	1
"administration,reduced"	1
"administration,regulations"	1
"administration,remedy"	1
"administration,requirement"	1
"administration,rollback"	2
"administration,seen"	1
"administration,signed"	1
"administrative,offices"	1
"admiral,former"	1
"admiral,ronny"	1
"admittedly,short"	1
"adopted,deepwater"	1
"advertisement,appointed"	1
"advertisement,end"	1
"advertisement,enough"	1
"advertisement,good"	1
"advertisement,help"	1
"advertisement,since"	1
"advertisementalso,december"	1
"advertisementby,kirk"	1
"advertisementcollapsesee,optionsadvertisementby"	2
"advertisementcollapsesee,optionsadvertisementsupported"	3
"advertisementconcern,among"	1
"advertisementin,past"	1
"advertisementport,fourchon"	1
"advertisementseparately,administration"	1
"advertisementseveral,weeks"	1
"advertisementsmaller,oil"	1
"advertisementsupported,bylettersto"	1
"advertisementsupported,byletterto"	1
"advertisementsupported,byop"	1
"advertisementthe,dispute"	1
"advertisementthe,fight"	1
"advertisementthe,new"	1
"advertisementthe,trump"	4
"advertisementthe,trumps"	1
"advertisementthe,used"	1
"advertisementthere,evidence"	1
"advertisementthis,past"	1
"advertisementwithering,criticism"	1
"advice,given"	1
"advised,mr"	1
"advised,public"	1
"adviser,mr"	1
"adviser,trump"	1
"adviser,united"	1
"advisers,logical"	1
"affects,lowest"	1
"affiliate,american"	1
"afford,grace"	1
"afoul,line"	1
"agency,backed"	1
"agency,charged"	1
"agency,chief"	1
"agency,complying"	1
"agency,conducted"	1
"agency,data"	1
"agency,documents"	1
"agency,estimated"	1
"agency,include"	1
"agency,justified"	1
"agency,mission"	2
"agency,officials"	1
"agency,part"	1
"agency,records"	1
"agency,reported"	1
"agency,runs"	1
"agency,spokeswoman"	1
"agency,starting"	1
"agenda,also"	1
"agenda,carried"	1
"agenda,one"	1
"ages,possibility"	1
"aging,devices"	1
"aging,platform"	1
"aging,platforms"	1
"ago,admittedly"	1
"ago,hotel"	1
"ago,july"	1
"ago,long"	1
"ago,percent"	1
"agreed,buy"	1
"agreed,buyout"	1
"agreed,interviewed"	1
"agreement,dispute"	1
"agreement,prevents"	1
"agreement,saying"	1
"agreement,statement"	1
"agreement,trump"	1
"agreements,according"	1
"agreements,use"	1
"agustin,armendariz"	1
"aides,prepare"	1
"air,force"	6
"aircraft,giving"	1
"airman,trump"	2
"airmen,handled"	1
"airport,tarmac"	1
"ala,fla"	3
"ala,imposing"	1
"alabama,gulf"	1
"alan,futerfas"	1
"alan,garten"	1
"alarm,hawaii"	1
"alarms,air"	1
"alerts,incoming"	1
"algerd,monstavicius"	1
"allegations,corruption"	1
"alleged,role"	1
"allegiance,trustworthiness"	1
"alliance,forged"	1
"allow,investigators"	1
"allowed,dump"	1
"allowed,perform"	1
"allowing,natural"	1
"ally,advertisement"	1
"almost,daily"	1
"almost,every"	1
"almost,half"	1
"alone,rather"	1
"along,billy"	1
"along,born"	1
"along,material"	1
"along,mile"	1
"along,platforms"	1
"alongside,deepwater"	1
"already,indicted"	1
"already,made"	1
"already,moved"	1
"already,operating"	1
"already,starting"	1
"also,believe"	1
"also,blames"	1
"also,cut"	1
"also,delivered"	1
"also,drew"	1
"also,examining"	1
"also,filed"	1
"also,financial"	1
"also,includes"	1
"also,issued"	1
"also,large"	1
"also,primarily"	1
"also,pursued"	1
"also,said"	1
"also,see"	1
"also,seemed"	1
"also,showing"	1
"also,wiped"	1
"altercations,engaging"	1
"altogether,among"	1
"always,assumed"	1
"always,legitimate"	1
"always,run"	1
"always,winning"	1
"always,workers"	1
"alzheimer,president"	1
"america,alan"	1
"america,call"	1
"america,come"	1
"america,companies"	1
"america,create"	1
"america,embraces"	1
"america,one"	1
"america,perception"	1
"america,stories"	1
"american,culture"	1
"american,medical"	1
"american,people"	2
"american,petroleum"	1
"american,politics"	1
"american,president"	1
"american,voters"	1
"american,workers"	1
"americans,benefited"	1
"americans,k"	1
